                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0268,                 5.4541,                 1.7829,                0.36187,                0.62663,                0.45884,                0.26899,                 1.1972,                 9.7803,                  1.331,                0.00024,                0.00024,                0.00024
                      2,                 1.0943,                 1.6303,                 1.1427,                0.62916,                  0.675,                0.61165,                 0.4086,                 1.1474,                 2.4969,                 1.2665,             0.00049505,             0.00049505,             0.00049505
                      3,                 1.1681,                  1.583,                  1.156,                0.58041,                0.67088,                0.59428,                0.32643,                   1.33,                 3.1441,                 1.5096,             0.00074495,             0.00074495,             0.00074495
                      4,                 1.0854,                 1.2976,                 1.1806,                0.62505,                   0.72,                0.65204,                0.36936,                 1.3136,                 2.5029,                 1.4794,             0.00098971,             0.00098971,             0.00098971
                      5,                 1.1621,                 1.2703,                 1.2031,                0.55195,                  0.755,                0.60928,                0.33339,                 1.3293,                 3.2245,                 1.4332,              0.0012293,              0.0012293,              0.0012293
                      6,                 1.1474,                 1.1286,                 1.1947,                0.53053,                   0.56,                0.48628,                0.27667,                 1.5639,                 3.5916,                 1.8275,              0.0014638,              0.0014638,              0.0014638
                      7,                 1.1272,                 1.0836,                 1.1944,                0.30978,                   0.74,                0.35319,                0.18411,                 1.4103,                 7.9653,                 1.8744,              0.0016931,              0.0016931,              0.0016931
                      8,                  1.166,                 1.1412,                 1.1822,                0.58933,                  0.715,                0.59916,                0.33388,                   1.41,                  2.857,                 1.5934,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1703,                 1.0585,                 1.1915,                 0.6409,                   0.66,                0.59423,                0.35166,                 1.5317,                 1.7845,                 1.5816,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1521,                0.99464,                 1.1983,                0.60503,                 0.4519,                0.45851,                0.25947,                 1.9771,                 3.4416,                 1.9091,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1654,                 1.0153,                 1.2029,                0.56183,                0.50007,                0.50556,                0.30367,                 1.8106,                 2.0274,                 1.7902,               0.001802,               0.001802,               0.001802
                     12,                 1.1096,                 1.0143,                 1.1823,                0.55161,                  0.485,                0.46069,                0.23025,                 1.7819,                 1.9184,                 1.8257,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.092,                0.98317,                 1.1611,                 0.2985,                  0.195,                0.15643,                0.08563,                 2.4684,                 3.5889,                 2.3307,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0856,                0.94864,                  1.146,                0.71621,                   0.69,                  0.748,                0.46213,                 1.2853,                 1.3926,                 1.3804,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0429,                0.92577,                 1.0897,                0.74137,                0.83131,                0.79805,                0.51803,                 1.1871,                 1.7776,                 1.3466,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0253,                0.89665,                 1.1229,                0.78006,                  0.785,                0.80386,                0.55332,                  1.122,                 1.2312,                 1.2834,               0.001703,               0.001703,               0.001703
                     17,                 1.0466,                0.88983,                 1.1049,                0.89839,                0.79573,                0.87131,                0.60559,                   1.05,                0.98492,                 1.1984,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.009,                0.81725,                 1.1061,                0.80749,                0.90185,                0.90517,                0.61261,                 1.1116,                0.89766,                 1.2092,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.008,                0.88273,                 1.1245,                0.80414,                    0.8,                0.86615,                0.56849,                 1.1389,                 1.2734,                 1.2923,              0.0016436,              0.0016436,              0.0016436
                     20,                0.99517,                0.82778,                 1.1091,                0.76798,                  0.835,                0.84218,                0.57693,                  1.107,                 1.0606,                 1.2523,              0.0016238,              0.0016238,              0.0016238
                     21,                0.98806,                0.84666,                 1.1056,                0.78388,                  0.855,                0.84549,                0.57685,                 1.0702,                 1.1663,                 1.1616,               0.001604,               0.001604,               0.001604
                     22,                0.95537,                0.76835,                 1.0785,                0.84557,                  0.845,                0.84747,                0.60636,                 1.0056,                0.98296,                 1.1342,              0.0015842,              0.0015842,              0.0015842
                     23,                0.96356,                0.78959,                 1.0693,                0.79324,                   0.82,                0.82636,                0.58249,                 1.0156,                 1.0348,                  1.146,              0.0015644,              0.0015644,              0.0015644
                     24,                  1.018,                0.86209,                 1.0859,                0.75237,                   0.85,                0.86677,                0.58846,                 1.0535,                 1.2019,                 1.2232,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0078,                0.83586,                 1.0927,                0.77806,                0.82386,                0.81497,                0.57271,                 1.0527,                0.99667,                 1.2051,              0.0015248,              0.0015248,              0.0015248
                     26,                0.96259,                0.75741,                 1.0523,                0.76434,                  0.815,                 0.8379,                0.59426,                 1.0177,                0.97908,                 1.1879,               0.001505,               0.001505,               0.001505
                     27,                0.91326,                0.74315,                 1.0739,                 0.6469,                  0.825,                0.72957,                0.50135,                 1.0469,                 1.2073,                 1.1762,              0.0014852,              0.0014852,              0.0014852
                     28,                0.91174,                0.73351,                 1.0509,                0.78838,                  0.875,                0.85725,                0.59913,                 1.0369,                0.88885,                 1.2018,              0.0014654,              0.0014654,              0.0014654
                     29,                0.93553,                0.73687,                 1.0654,                  0.798,                    0.9,                0.85213,                0.60325,                0.99395,                0.94119,                 1.1583,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.9136,                  0.756,                 1.0941,                0.78733,                   0.88,                0.80884,                0.56814,                 1.0138,                0.91577,                 1.1833,              0.0014258,              0.0014258,              0.0014258
                     31,                0.86687,                0.72648,                 1.0556,                0.82646,                   0.85,                0.85135,                0.60026,                  1.042,                  0.836,                 1.1653,               0.001406,               0.001406,               0.001406
                     32,                0.88427,                0.72328,                 1.0297,                0.84772,                0.86285,                0.88253,                0.61846,                0.99085,                0.88298,                 1.1239,              0.0013862,              0.0013862,              0.0013862
                     33,                0.87259,                 0.6585,                 1.0384,                0.85896,                  0.855,                0.85918,                0.63088,                0.94813,                0.79242,                  1.101,              0.0013664,              0.0013664,              0.0013664
                     34,                0.86997,                0.70138,                 1.0437,                0.88885,                   0.85,                0.87697,                0.65224,                0.94604,                0.77651,                 1.0992,              0.0013466,              0.0013466,              0.0013466
                     35,                0.90226,                0.72968,                 1.0621,                0.78644,                  0.925,                0.89804,                0.66146,                0.92373,                 0.7621,                 1.0861,              0.0013268,              0.0013268,              0.0013268
                     36,                  0.914,                0.69558,                 1.0468,                0.85212,                  0.905,                0.89533,                0.66534,                0.93588,                0.76575,                 1.1171,               0.001307,               0.001307,               0.001307
                     37,                0.90259,                0.66887,                 1.0315,                0.83149,                   0.86,                0.89689,                0.63598,                 1.0439,                0.78977,                 1.1756,              0.0012872,              0.0012872,              0.0012872
                     38,                0.87412,                0.68553,                 1.0557,                0.85315,                    0.8,                0.84579,                  0.614,                0.98955,                0.82043,                 1.1406,              0.0012674,              0.0012674,              0.0012674
                     39,                0.92057,                0.69204,                 1.0302,                0.84927,                0.84513,                0.87138,                0.61982,                0.93479,                0.79998,                 1.1108,              0.0012476,              0.0012476,              0.0012476
                     40,                0.90909,                 0.6994,                  1.042,                0.85543,                   0.88,                0.88845,                0.65053,                0.96031,                0.80954,                 1.1521,              0.0012278,              0.0012278,              0.0012278
                     41,                0.84324,                0.65224,                 1.0366,                0.82686,                  0.865,                0.87933,                0.64629,                0.93181,                0.79095,                 1.1083,               0.001208,               0.001208,               0.001208
                     42,                0.85503,                0.67138,                 1.0378,                0.83541,                  0.835,                0.86525,                0.63675,                0.94698,                0.83642,                 1.1134,              0.0011882,              0.0011882,              0.0011882
                     43,                0.83641,                 0.6457,                 1.0205,                0.85193,                   0.83,                0.87361,                0.62991,                0.94952,                0.83871,                 1.1175,              0.0011684,              0.0011684,              0.0011684
                     44,                0.81679,                0.63833,                 1.0135,                0.87358,                 0.8638,                0.88356,                0.65193,                0.95624,                0.83052,                 1.1189,              0.0011486,              0.0011486,              0.0011486
                     45,                0.83358,                0.63064,                 1.0079,                0.81686,                   0.92,                0.89406,                0.67193,                0.91291,                0.76012,                 1.1132,              0.0011288,              0.0011288,              0.0011288
                     46,                0.81431,                0.59703,                 1.0017,                0.87521,                   0.84,                0.89886,                0.65347,                0.91696,                0.73104,                 1.0942,               0.001109,               0.001109,               0.001109
                     47,                0.81817,                0.62439,                  1.016,                 0.8558,                   0.86,                0.89354,                0.65639,                0.93026,                0.79225,                 1.1024,              0.0010892,              0.0010892,              0.0010892
                     48,                0.79387,                0.60305,                 1.0102,                0.89951,                  0.855,                 0.9087,                0.65669,                0.94067,                0.78292,                 1.1218,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.7864,                0.57766,                0.97991,                0.87725,                  0.895,                0.90583,                0.67627,                0.90734,                0.73834,                 1.0858,              0.0010496,              0.0010496,              0.0010496
                     50,                0.78761,                0.59778,                 1.0175,                0.84437,                   0.88,                0.89616,                0.67187,                0.90322,                0.76722,                 1.0717,              0.0010298,              0.0010298,              0.0010298
                     51,                0.83702,                0.61287,                 1.0212,                 0.8755,                   0.82,                0.86547,                0.65591,                0.91634,                0.78286,                  1.106,                0.00101,                0.00101,                0.00101
                     52,                0.76874,                0.56732,                 0.9812,                0.85288,                   0.87,                0.88657,                0.66774,                  0.914,                0.72309,                  1.115,              0.0009902,              0.0009902,              0.0009902
